,class_type_ids,content_provider,content_format,description,difficulty_estimate,overall_estimate,difficulty_rating_avg,difficulty_rating_count,difficulty_level,duration,equipment_ids,equipment_tags,explicit_rating,extra_images,fitness_discipline,fitness_discipline_display_name,has_closed_captions,has_pedaling_metrics,home_peloton_id,id,image_url,instructor_id,individual_instructor_ids,is_archived,is_closed_caption_shown,is_explicit,has_free_mode,is_live_in_studio_only,language,origin_locale,length,live_stream_id,live_stream_url,location,metrics,original_air_time,overall_rating_avg,overall_rating_count,pedaling_start_offset,pedaling_end_offset,pedaling_duration,rating,ride_type_id,ride_type_ids,sample_vod_stream_url,sample_preview_stream_url,scheduled_start_time,series_id,sold_out,studio_peloton_id,title,total_ratings,total_in_progress_workouts,total_workouts,vod_stream_url,vod_stream_id,captions,flags,is_dynamic_video_eligible,is_fixed_distance,dynamic_video_recorded_speed_in_mph,thumbnail_title,thumbnail_location,distance,distance_unit,distance_display_value,muscle_group_score,is_sessions_eligible,total_user_workouts,total_following_workouts,is_favorite,availability.is_available,availability.reason,join_tokens.on_demand
0,['c87e20095d80463db5ce04df7fe2b989'],peloton,video,We dare you not to dance as you ride to all the hits from the pop music charts. Let’s party!,7.5392,0.9949,7.5392,4599,,1800,[],[],1,[],cycling,Cycling,True,True,af0835e135334f37a4b0e04d7eeffbdf,460f8db3067d49789ff47701531f9b94,https://s3.amazonaws.com/peloton-ride-images/0d0ca592991af62d9ecc9f99b065ed385c3045ac/img_1671813224_b8d97b08a7984b5ca3d2d9c2b1243b76.png,baf5dfb4c6ac4968b2cb7f8f8cc0ef10,[],True,True,True,False,True,english,en-US,1969,460f8db3067d49789ff47701531f9b94-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1671810720,0.9949,4515,60,1860,1800,0,c87e20095d80463db5ce04df7fe2b989,['c87e20095d80463db5ce04df7fe2b989'],,,1671811200,b0fb492940584b82986a10426cd3c5a5,False,a65a30e0c582475a89eac1fe0f93762d,30 min Pop Ride,0,386,30000,,460f8db3067d49789ff47701531f9b94-vod,['en-US'],[],False,False,0.0,,,,,,[],True,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI0NjBmOGRiMzA2N2Q0OTc4OWZmNDc3MDE1MzFmOWI5NCIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
1,['7579b9edbdf9464fa19eb58193897a73'],peloton,video,"Bursts of effort alternated with free weight segments, this ride will challenge your mind and strengthen your body from the inside out.",7.9776,0.9926,7.9776,2323,,2700,[],[],0,[],cycling,Cycling,True,True,5016be4f571c4862b3bb329f73195333,77dff81da469487ba74e0d5b352b2e76,https://s3.amazonaws.com/peloton-ride-images/b99186d158461822a1a551595b8ccdc21a87bf62/img_1671803480_944e6d65bce642929949f6f8a8c9c483.png,731d7b7f6b414a49892c21f01e25317d,[],True,True,False,False,True,english,en-US,2921,77dff81da469487ba74e0d5b352b2e76-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1671799920,0.9926,2150,60,2760,2700,0,7579b9edbdf9464fa19eb58193897a73,['7579b9edbdf9464fa19eb58193897a73'],,,1671800400,283319daf8834b86a6205737001b0d56,False,b7bd4c225a414e2bb7d05e4da2b0c273,45 min Intervals & Arms Ride,0,256,10000,,77dff81da469487ba74e0d5b352b2e76-vod,['en-US'],[],False,False,0.0,,,,,,[],True,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI3N2RmZjgxZGE0Njk0ODdiYTc0ZTBkNWIzNTJiMmU3NiIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
2,['c87e20095d80463db5ce04df7fe2b989'],peloton,video,"Feel your mood lift with gospel music that spurs you on, whether you're on or off the bike.",6.8411,1.0,6.8411,107,,1200,[],[],0,[],cycling,Cycling,False,True,f05ce983b0a4416ea863b11ff4eae05c,c41644ea42c841d483d79cc4bb3f0c8e,https://s3.amazonaws.com/peloton-ride-images/bd8980a23c7b0e67e4d289d9d8ad14308f126d5a/img_1671565238_16af929161ec4d46a3f95f2334d5f85d.png,e2e6586d898d4422b3f6e3a259ff3f90,[],True,False,False,False,True,english,de-DE,1418,c41644ea42c841d483d79cc4bb3f0c8e-live,,psl-studio-3,"['heart_rate', 'cadence', 'calories']",1671793200,1.0,105,60,1260,1200,0,c87e20095d80463db5ce04df7fe2b989,['c87e20095d80463db5ce04df7fe2b989'],,,1671793200,d229df1748004a1590f085dadbae2dde,False,d3a6122f55eb4d78b4d342a0966b0ab8,20 min Gospel Ride,0,4,500,,c41644ea42c841d483d79cc4bb3f0c8e-vod,[],[],False,False,0.0,,,,,,[],False,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJjNDE2NDRlYTQyYzg0MWQ0ODNkNzljYzRiYjNmMGM4ZSIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
3,['9f9be657134e4d868d76ae4988da01f1'],peloton,video,"Practice makes perfect. This course will help you get to know your Bike, pick up tips on proper cycling form and technique, and learn about the Leaderboard.",4.9211,1.0,4.9211,38,,1200,[],[],0,[],cycling,Cycling,False,True,c29ab3157899413ea02a7314c965f600,8c8a09e8ba764417a4d0010b521b8298,https://s3.amazonaws.com/peloton-ride-images/95178be81a250e4bf65105527cc1983aa753df2a/img_1670954095_50778275513e47118508f45b7b9b2b0d.png,e2b47232c29844c380f0a5374317a3c9,[],True,False,False,False,True,english,de-DE,1413,8c8a09e8ba764417a4d0010b521b8298-live,,psl-studio-3,"['heart_rate', 'cadence', 'calories']",1671793200,1.0,31,60,1260,1200,0,9f9be657134e4d868d76ae4988da01f1,['9f9be657134e4d868d76ae4988da01f1'],,,1671793200,777cc4f5902a4ef69b718284c5a288df,False,2b000380c36242fe97d93129d5f15ba5,20 min Beginner Ride,0,5,500,,8c8a09e8ba764417a4d0010b521b8298-vod,[],[],False,False,0.0,,,,,,[],False,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI4YzhhMDllOGJhNzY0NDE3YTRkMDAxMGI1MjFiODI5OCIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
4,['9f9be657134e4d868d76ae4988da01f1'],peloton,video,"Still warming up but ready for more? Build on the basics with this challenging but accessible ride, appropriate for all levels.",6.2222,1.0,6.2222,63,,1800,[],[],0,[],cycling,Cycling,False,True,a2b0e0b322d64292be3c2133e95cc2bc,2e9aecae15bc4dd1b4b2543d14135415,https://s3.amazonaws.com/peloton-ride-images/c66ec40f7dc4db6a7c7b3f00d4fe090d4dfbcfdb/img_1671441449_bde170da23914ac198a5690ffe4f1403.png,0ac29effd55a435bad2f5c07cab8e567,[],True,False,False,False,True,english,de-DE,1985,2e9aecae15bc4dd1b4b2543d14135415-live,,psl-studio-3,"['heart_rate', 'cadence', 'calories']",1671793200,1.0,50,60,1860,1800,0,9f9be657134e4d868d76ae4988da01f1,['9f9be657134e4d868d76ae4988da01f1'],,,1671793200,0c4bab79ed6a4401ac9a0481ec94ed1b,False,7e1763bf013d48fcadd25756dc835541,30 min Advanced Beginner Ride,0,4,500,,2e9aecae15bc4dd1b4b2543d14135415-vod,[],[],False,False,0.0,,,,,,[],False,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICIyZTlhZWNhZTE1YmM0ZGQxYjRiMjU0M2QxNDEzNTQxNSIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
5,['c87e20095d80463db5ce04df7fe2b989'],peloton,video,"Old school, new school, and everything in between. You'll recognize these smooth beats and won't be able to resist the greatest R&B hits from past and present.",6.6897,0.963,6.6897,29,,1200,[],[],0,[],cycling,Cycling,False,True,ee53f60c73674511b1adae48f06ad2cf,c081fe48d32d4a0b8a277830ee3b2297,https://s3.amazonaws.com/peloton-ride-images/519adda21ee69f0fd25160258c9e05f64f0a6c8c/img_1670484497_887fedb27cc04500be69fed49cbf9977.png,e2b47232c29844c380f0a5374317a3c9,[],True,False,False,False,True,english,de-DE,1444,c081fe48d32d4a0b8a277830ee3b2297-live,,psl-studio-3,"['heart_rate', 'cadence', 'calories']",1671789600,0.963,27,60,1260,1200,0,c87e20095d80463db5ce04df7fe2b989,['c87e20095d80463db5ce04df7fe2b989'],,,1671789600,cbabc6ddbc104650bf4406c65b3c9b79,False,4f6d6612741e46e485e3725280522a83,20 min R&B Ride,0,6,100,,c081fe48d32d4a0b8a277830ee3b2297-vod,[],[],False,False,0.0,,,,,,[],False,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJjMDgxZmU0OGQzMmQ0YTBiOGEyNzc4MzBlZTNiMjI5NyIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
6,['59a49f882ea9475faa3110d50a8fb3f3'],peloton,video,Speed up your recovery by flushing out your legs and increasing blood flow without adding any stress to your muscles. This ride is perfect for a rest day!,4.575,1.0,4.575,80,,1200,[],[],0,[],cycling,Cycling,False,True,a48c4411bd054dcea8138d221c86a18b,5c47d4e57093404a853cc5ac7582bf26,https://s3.amazonaws.com/peloton-ride-images/5d121b2e43f8cb5a7a58995075a3909443cb6c3a/img_1670868269_eafe465b187348f59f9e65ae674a6401.png,017dd08b095346979ddf761eb49f9f67,[],True,False,False,False,True,english,de-DE,1441,5c47d4e57093404a853cc5ac7582bf26-live,,psl-studio-3,"['heart_rate', 'cadence', 'calories']",1671789600,1.0,73,60,1260,1200,0,59a49f882ea9475faa3110d50a8fb3f3,['59a49f882ea9475faa3110d50a8fb3f3'],,,1671789600,d26bfc918490468192b92d916504380a,False,839bd674da64410dba0958e0311f0bb6,20 min Recovery Ride,0,2,100,,5c47d4e57093404a853cc5ac7582bf26-vod,[],[],False,False,0.0,,,,,,[],False,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI1YzQ3ZDRlNTcwOTM0MDRhODUzY2M1YWM3NTgyYmYyNiIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
7,['59a49f882ea9475faa3110d50a8fb3f3'],peloton,video,Speed up your recovery by flushing out your legs and increasing blood flow without adding any stress to your muscles. This ride is perfect for a rest day!,4.9911,0.9944,4.9911,1120,,1200,[],[],0,[],cycling,Cycling,True,True,89b369647de34f72b95e2d6aae611c00,f22c37fd0bc440ec937d8a07ca628a4f,https://s3.amazonaws.com/peloton-ride-images/5f5172e4e56efc98e3ce0bb85c34b28015481050/img_1668674251_5038a86eb4024091a08e448ab1c9fb05.png,3ff679ebbd324c83a8ab6cfa6bb4be37,[],True,True,False,False,True,english,en-US,1376,f22c37fd0bc440ec937d8a07ca628a4f-live,,psl-studio-1,"['heart_rate', 'cadence', 'calories']",1671778800,0.9944,1248,60,1260,1200,0,59a49f882ea9475faa3110d50a8fb3f3,['59a49f882ea9475faa3110d50a8fb3f3'],,,1671778800,d26bfc918490468192b92d916504380a,False,417943f7694b4c49abe011a9f65086ba,20 min Recovery Ride,0,59,5000,,f22c37fd0bc440ec937d8a07ca628a4f-vod,['en-US'],[],False,False,0.0,,,,,,[],True,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJmMjJjMzdmZDBiYzQ0MGVjOTM3ZDhhMDdjYTYyOGE0ZiIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
8,['57dbf6f9a4904a9f80e302380855bdb7'],peloton,video,You've done the hard work! Now take a few extra minutes after your ride to lower your heart rate and ease your body into a healthy recovery zone.,3.9579,1.0,3.9579,95,,600,[],[],0,[],cycling,Cycling,False,True,6e148e1073644d5d807b64c4015873fc,4ca70d23563f4388a9dd74ad236aa056,https://s3.amazonaws.com/peloton-ride-images/fc1c0b4645c0c34fa23df840153b0723ff630ae4/img_1671653534_c0fa27f77814451d9770e61a38780f63.png,017dd08b095346979ddf761eb49f9f67,[],True,False,False,False,True,english,de-DE,822,4ca70d23563f4388a9dd74ad236aa056-live,,psl-studio-3,"['heart_rate', 'cadence', 'calories']",1671777000,1.0,102,60,660,600,0,57dbf6f9a4904a9f80e302380855bdb7,['57dbf6f9a4904a9f80e302380855bdb7'],,,1671777000,8c0da6bd58b24ab5bab097143b402b7a,False,2a7ae8e40c3b4c5299d9cb5afc8a943f,10 min Cool Down Ride,0,3,500,,4ca70d23563f4388a9dd74ad236aa056-vod,[],[],False,False,0.0,,,,,,[],False,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI0Y2E3MGQyMzU2M2Y0Mzg4YTlkZDc0YWQyMzZhYTA1NiIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
